"Aphelandra deppeana" "Forsteronia spicata" "Arrabidaea mollisima" "Cordia alliodora" "Boraginaceae sp." "Bauhinia ungulata" "Cassia hayesiana" "Compositae sp.1" "Compositae sp.2" "Compositae sp.3" "Compositae sp.4" "Compositae sp.5" "Tetracera volubilis" "Centrosema pubescens" "Desmodium sp." "Dioclea megacarpa" "Lonchocarpus rugosus" "Lonchocarpus costaricensis" "Machaerium biovulatum" "Fabaceae sp." "Lasiacis sp." "Olyra latifolia" "Rush sp." "Rheedia edulis" "Hemiangium excelsum" "Smilex spinosa" "Hiraea reclinata" "Malvaviscus arboreus" "Sida sp." "Gouania polygama" "Alibertia edulis" "Helicteles guazumaefolia" "Waitheria glomerata" "Luehea sp." "Lantana camara" "Rhehdera trinervis" "Stachytrapheta sp."
"Agromyzidae sp.4" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Scythridae sp.1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epermeniidae sp.1" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bucculatrix sp.1" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Uroplata fusca" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gracillariidae sp.1" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lepidoptera sp.2" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Diptera sp.2" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brachys sp.1" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Octhispa solarii" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
