"Carpobrotus glaucescens" "Bidens pilosa" "Chrysanthemoides monilifera" "Senecio madagascariensis" "Senecio pinnatifolius" "Sonchus oleraceus" "Ipomoea pes-caprae brasiliensis" "Diplocyclos palmatus" "Hibbertia scandens" "Leucopogon parviflorus" "Gloriosa superba" "Melaleuca quiquenervia" "Dianella congesta" "Rivina humilis" "Banksia integrifolia subsp. integrifolia" "Banksia serrata" "Cupaniopsis anacardioides" "Solanum americanum" "Pimelea linifolia" "Lantana camara"
"Unidentified sp." 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"Dioxyna sorocula" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mesoclanis polana" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lepidoptera sp.11" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trupanea prolata" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lepidoptera sp.12" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atherigona sp." 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"Euphranta lemniscata" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helcomyzidae sp." 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gaurax sp." 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bactrocera bryoniae" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bactrocera chorista" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Lepidoptera sp.14" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Heleomyzidae sp." 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
