"Microgaster subcompleta" "Hemiptarsenus unguicellus" "Diadegma indet.sp." "Dacnusa sp." "Seladerma tarsale" "Diglyphus isaea" "Dacnusa confinis" "Dacnusa maculipes" "Dacnusa tarsalis" "Dacnusa areolaris" "Protodacnusa tristis" "Heterolexis balteata" "Opius ambiguus" "Phaedrotoma austriaca" "Carcelia tibialis" "Diolcogaster connexa" "Campoplex sp. A" "Chorebus sp." "Apodesmia sp. near similis" "Sphaeripalpus viridis" "Chorebus solstitialis" "Halticoptera aenea" "Protapanteles vitripennis" "Apanteles circumscriptus" "Seladerma diffine" "Hemiptarsenus ornatus" "Chrysocharis pentheus" "Miscogaster maculata" "Cotesia glomerata" "Macrocentrus cingulum" "Diadegma sp. 1" "Diadegma sp. G" "Pnigalio pectinicornis" "Chrysocharis pubicornis" "Chorebus punctus" "Phaedrotoma exigua" "Herpestomus brunnicornis" "Apanteles xanthostigma" "Tranosemella praerogator" "Apanteles laevigatus" "Macrocentrus pallipes" "Hyposoter sp. A" "Mesochorus sp." "Aleiodes similis" "Pimpla rufipes"
"Aglais urticae" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agromyza vicifoliae" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anthophila fabriciana" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromatomyia milii" 0 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromatomyia nigra" 0 0 0 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cnephasia spp." 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epiphyas postvittana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Euproctis similis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hedya pruniana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrellia griseola" 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Operophtera brumata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter oxyacanthae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
