"Diadegma sp. H" "Dacnusa maculipes" "Dacnusa sp." "Chrysocharis pubicornis" "Seladerma tarsale" "Colastes braconius" "Diglyphus isaea" "Dacnusa confinis" "Cyrtogaster vulgaris" "Chorebus aphantus" "Dacnusa areolaris" "Dacnusa tarsalis" "Heterolexis balteata" "Pnigalio pectinicornis" "Pediobius alcaeus" "Apanteles circumscriptus" "Pediobius saulius" "Apanteles elpis" "Pnigalio soemius" "Protapanteles fulvipes" "Miscogaster maculata" "Exotela cyclogaster var. umbellina" "Exotela hera" "Grammospila rufiventris" "Microgaster subcompleta" "Mesochorus sp." "Diadegma sp. G" "Campoletis sp." "Dacnusa temula" "Chrysocharis pallipes" "Phaedrotoma sp. nov. near signifemur" "Chrysocharis polyzo" "Utetes pactus" "Chrysocharis sp." "Glypta sp. B" "Oedemopsis scabricula" "Voria ruralis" "Diadegma sp. I" "Diadegma stigmatellae"
"Anthophila fabriciana" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromatomyia milii" 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromatomyia nigra" 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrysoesthia sexguttella" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parornix devoniella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter coryli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter nicellii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter oxyacanthae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter spinicolella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phytomyza chaerophylii" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
