"sp_c_001" "sp_c_002" "sp_c_003" "sp_c_004" "sp_c_005"
"sp_r_001" 0 0 0 0 1
"sp_r_002" 1 1 1 0 1
"sp_r_003" 0 0 1 0 1
"sp_r_004" 0 0 0 0 1
"sp_r_005" 0 1 1 1 1
"sp_r_006" 1 0 1 1 1
"sp_r_007" 0 0 0 0 1
"sp_r_008" 1 1 0 0 1
"sp_r_009" 0 0 0 0 1
"sp_r_010" 0 0 0 0 1
"sp_r_011" 0 0 0 0 1
"sp_r_012" 0 0 0 0 1
"sp_r_013" 0 0 0 0 1
"sp_r_014" 0 0 0 1 1
"sp_r_015" 0 0 0 0 1
"sp_r_016" 0 0 0 0 1
"sp_r_017" 0 0 0 0 1
"sp_r_018" 0 1 0 1 1
"sp_r_019" 0 0 0 0 1
"sp_r_020" 0 0 0 0 1
"sp_r_021" 0 0 0 0 1
"sp_r_022" 0 0 0 1 1
"sp_r_023" 0 0 0 0 1
"sp_r_024" 0 0 0 0 1
"sp_r_025" 0 0 0 0 1
"sp_r_026" 0 1 0 0 1
"sp_r_027" 0 0 0 0 1
"sp_r_028" 1 0 0 0 1
"sp_r_029" 0 0 1 0 1
"sp_r_030" 0 0 0 0 1
"sp_r_031" 0 0 1 1 1
"sp_r_032" 0 0 0 0 1
"sp_r_033" 0 0 0 0 1
"sp_r_034" 0 0 0 0 1
"sp_r_035" 0 0 0 0 1
"sp_r_036" 0 0 1 1 1
"sp_r_037" 0 0 0 1 1
"sp_r_038" 0 0 0 1 1
"sp_r_039" 0 0 1 0 1
"sp_r_040" 0 0 0 0 1
"sp_r_041" 0 0 0 0 1
"sp_r_042" 0 0 0 0 1
"sp_r_043" 0 0 0 0 1
"sp_r_044" 0 0 0 0 1
"sp_r_045" 0 0 0 0 1
"sp_r_046" 0 0 0 0 1
